circuito,primer_gp,n_grandes_premios,longitud,vueltas,curvas,distancia,duro,medio,blando
Baréin,2004,20,5.412,57,15,308.484,c1,c2,c3 
Arabia Saudí,2021,4,6.175,50,27,308.750,c2,c3,c4
Australia,1985,38,5.303,58,14,307.574,c3,c4,c5
Japón,1976,38,5.807,53,14,307.771,c1,c2,c3
China,2004,17,5.454,56,16,305.256,c2,c3,c4
Miami,2022,3,5.410,57,19,308.370,c2,c3,c4
Emilia Romaña,2020,4,4.909,63,19,309.267,c3,c4,c5
Mónaco,1950,70,3.337,78,19,260.286,c3,c4,c5
Canadá,1967,53,4.361,70,14,305.270,c3,c4,c5
España,1951,54,4.657,66,14,307.362,c1,c2,c3
Austria,1964,37,4.326,71,9,307.146,c3,c4,c5
Gran Bretaña,1950,75,5.891,52,18,306.332,c1,c2,c3
Hungría,1986,39,4.381,70,14,306.670,c3,c4,c5
Bélgica,1950,69,7.004,44,19,308.176,c2,c3,c4
Holanda,1952,34,4.252,72,14,306.144,c1,c2,c3
Italia,1950,75,5.793,53,11,307.029,c3,c4,c5
Azerbaiyán,2016,8,6.006,51,20,306.306,c3,c4,c5
Singapur,2008,15,5.065,62,1,314.030,c3,c4,c5
Austin,1959,45,5.513,56,20,308.728,c2,c3,c4
México,1963,24,4.580,71,16,325.180,c3,c4,c5
Brasil,1973,51,4.309,71,15,305.939,c3,c4,c5
Las Vegas,1981,4,6.120,50,17,306.000,c3,c4,c5
Catar,2021,2,5.380,57,16,306.660,c1,c2,c3
Abu Dhabi,2010,14,5.281,58,16,306.183,c3,c4,c5




